1,S,Navy,sellable,,,14,11:03.6,11:03.6
2,S,Navy,sellable,,,14,11:03.6,11:03.6
23,S,Navy,sellable,,,14,11:03.6,11:03.6
28,S,Navy,sellable,,,14,11:03.7,11:03.7
30,S,Navy,sellable,,,14,11:03.7,11:03.7
51,L,Navy,sellable,,,14,11:03.7,11:03.7
60,L,Navy,sellable,,,14,11:03.7,11:03.7
76,L,Navy,sellable,,,14,11:03.7,11:03.7
89,L,,,,,,,
127,M,Black,sellable,,,12,11:03.3,11:03.3
144,M,Black,sellable,,,12,11:03.3,11:03.3
158,M,Black,sellable,,,12,11:03.3,11:03.3
170,M,Black,,,,,,
201,M,Black,sellable,,,12,11:03.3,11:03.3
189,S,Black,sellable,,,12,11:03.3,11:03.3
255,S,Black,sellable,,,,,
210,M,White,sellable,,,4,10:00.9,10:00.9
269,M,White,sellable,,,4,10:00.9,10:00.9
226,M,White,sellable,,,4,10:00.9,10:00.9
200,S,White,sellable,,,4,10:00.9,10:00.9
abc,S,White,sellable,,,,,
113,S,White,sellable,,,4,10:00.9,10:00.9
114,S,White,sellable,,,4,10:00.9,10:00.9
115,S,White,sellable,,,4,10:00.9,10:00.9
116,S,White,sellable,,,4,10:00.9,10:00.9
117,L,White,sellable,,,4,10:00.9,10:00.9
118,L,White,sellable,,,4,10:00.9,10:00.9
119,L,White,sellable,,,4,10:00.9,10:00.9
120,L,White,sellable,,,4,6/5/14,
